group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds,initial_cv,current_cv,num_cv_dec
vk_glayer_3_inst:0,1336.42,30.7405,2518,1,3215.17,605.988,438
sy_glayer_0_inst:0,750.517,30.7174,2052,1,1472.09,725.496,422
sy_glayer_3_inst:0,741.335,30.6541,1982,1,1781.57,1009.09,435
ss_glayer_3_inst:0,718.478,30.869,2596,1,1522.35,717.365,429
hk_glayer_2_inst:0,3054.33,30.5853,3828,2,7562.28,685.176,405
vk_glayer_2_inst:0,496.24,30.6643,2498,1,1306.51,716.201,386
vk_glayer_0_inst:0,503.269,30.823,2579,1,1043.03,1057,442
ss_glayer_2_inst:0,790.124,30.821,2618,1,1693.76,532.718,447
ss_glayer_1_inst:0,997.54,30.6731,2563,1,1975.78,917.618,422
vk_glayer_1_inst:0,701.24,30.8436,2521,1,1669.04,1712.5,433
hk_glayer_0_inst:0,1245.23,30.6756,3757,2,3146.02,616.227,414
hk_glayer_3_inst:0,1302.61,30.9018,3639,2,1776.81,533.402,418
hk_glayer_1_inst:0,769.346,30.7652,3657,2,1756.12,515.249,443
ss_glayer_0_inst:0,492.679,30.8538,2500,1,1343.33,751.107,428
sy_glayer_1_inst:0,769.162,30.6825,2074,1,1448.33,653.223,414
sy_glayer_2_inst:0,495.873,30.8439,2042,1,1262.72,1084.83,418
rch_rain,9794.1,51.8848,2,0,2087.05,47.0536,2
ghb_glayer_4,27.2081,29.3433,1,0,115.317,64.0519,0
ghb_glayer_5,248.89,31.5016,3,2,320.629,147.509,0
ghb_glayer_1,13.3966,28.672,5,3,439.81,362.234,0
ghb_glayer_0,240.62,29.1365,4,3,263.831,132.954,0
ghb_glayer_2,208.048,32.7904,3,2,359.297,78.3911,1
ghb_glayer_3,4.14118,29.2159,5,3,215.521,146.488,0
