name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
HDS_USECOL:P-E3-S6_1_TIME:20131201.0,681.35,0.540007,679.837,682.374,681.89,680.81,754.133,41.4509,684.55,897.55,795.584,712.682,2.17647
HDS_USECOL:P-E3-S6_1_TIME:20217601.0,681.394,0.517847,679.558,682.68,681.912,680.877,754.131,41.4503,684.55,897.55,795.581,712.681,1.86963
HDS_USECOL:P-E3-S6_1_TIME:20304001.0,681.332,0.468015,679.815,682.598,681.8,680.864,754.129,41.4493,684.55,897.54,795.578,712.68,1.95173
HDS_USECOL:P-E3-S6_1_TIME:20390401.0,681.311,0.491058,679.712,682.566,681.802,680.82,754.127,41.4483,684.55,897.53,795.575,712.679,1.98425
HDS_USECOL:P-E3-S6_1_TIME:20476801.0,681.488,0.4871,680.424,682.962,681.975,681,754.126,41.4472,684.55,897.53,795.573,712.678,1.58846
HDS_USECOL:P-E3-S6_1_TIME:20563201.0,681.542,0.456006,680.417,682.509,681.998,681.086,754.123,41.4458,684.55,897.52,795.569,712.678,2.04087
HDS_USECOL:P-E3-S6_1_TIME:20649601.0,681.552,0.512354,679.939,682.906,682.064,681.039,754.122,41.4445,684.55,897.51,795.566,712.677,1.64368
HDS_USECOL:P-E3-S6_1_TIME:20736001.0,681.521,0.456676,680.506,682.673,681.978,681.064,754.119,41.4439,684.55,897.5,795.563,712.675,1.8765
HDS_USECOL:P-E3-S6_1_TIME:20822401.0,681.354,0.50199,680.003,682.537,681.856,680.852,754.118,41.4431,684.55,897.5,795.561,712.674,2.01275
HDS_USECOL:P-E3-S6_1_TIME:20908801.0,681.473,0.461908,680.136,682.728,681.935,681.011,754.115,41.4416,684.55,897.49,795.557,712.674,1.82184
HDS_USECOL:P-E3-S6_1_TIME:20995201.0,681.357,0.474368,679.999,682.417,681.832,680.883,754.113,41.4401,684.55,897.48,795.554,712.673,2.13326
HDS_USECOL:P-E3-S6_1_TIME:21081601.0,681.347,0.45275,680.185,682.313,681.8,680.895,754.111,41.4394,684.55,897.48,795.551,712.672,2.23693
