name,value,group,weight
flow_gal_usecol:gal-flow_time:105062401.0,-0.0016196,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:105148801.0,-0.0015941,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:105235201.0,-0.0015718,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:105321601.0,-0.0015509,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:105408001.0,-0.001531,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:10540801.0,0,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:105494401.0,-0.0015119,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:105580801.0,-0.0014936,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:105667201.0,-0.0014759,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:105753601.0,-0.001459,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:105840001.0,-0.0014427,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:105926401.0,-0.001427,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:106012801.0,-0.0014119,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:106099201.0,-0.0013973,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:106185601.0,-0.0066376,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:106272001.0,-0.0037203,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:10627201.0,0,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:106358401.0,-0.0025344,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:106444801.0,-0.0024872,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:106531201.0,-0.0024574,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:106617601.0,-0.002429,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:106704001.0,-0.0024014,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:106790401.0,-0.0023744,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:106876801.0,-0.0023481,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:106963201.0,-0.0023223,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:107049601.0,-0.0022972,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:107136001.0,-0.0022726,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:10713601.0,0,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:107222401.0,-0.0022486,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:107308801.0,-0.0022251,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:107395201.0,-0.0022021,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:107481601.0,-0.0021797,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:107568001.0,-0.0021578,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:107654401.0,-0.0021363,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:107740801.0,-0.0021154,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:107827201.0,-0.0055326,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:107913601.0,-0.003466,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:108000001.0,-0.0027304,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:10800001.0,0,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:108086401.0,-0.0024585,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:108172801.0,-0.0023485,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:108259201.0,-0.0022953,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:108345601.0,-0.0022624,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:108432001.0,-0.0022368,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:108518401.0,-0.0022142,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:108604801.0,-0.002193,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:108691201.0,-0.0021726,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:108777601.0,-0.0021529,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:108864001.0,-0.0021337,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:10886401.0,0,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:108950401.0,-0.002115,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:109036801.0,-0.0020967,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:109123201.0,-0.0020789,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:109209601.0,-0.0020616,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:109296001.0,-0.0020446,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:109382401.0,-0.0020281,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:109468801.0,-0.002012,flow_gal_usecol:gal-flow,0
