group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds,initial_cv,current_cv,num_cv_dec
vk_glayer_3_inst:0,865.638,18.8131,3481,1,3215.17,705.882,363
sy_glayer_0_inst:0,671.512,18.7976,2873,1,1472.09,1930.3,336
sy_glayer_3_inst:0,746.981,18.818,2744,1,1781.57,2468.67,331
ss_glayer_3_inst:0,691.649,18.9639,3589,1,1522.35,677.488,355
hk_glayer_2_inst:0,3316.2,18.725,5278,2,7562.28,787.3,323
vk_glayer_2_inst:0,488.867,18.7161,3445,1,1306.51,670.631,324
vk_glayer_0_inst:0,436.447,18.9365,3520,1,1043.03,530.909,342
ss_glayer_2_inst:0,678.207,18.8156,3541,1,1693.76,592.446,326
ss_glayer_1_inst:0,908.139,18.7805,3534,1,1975.78,750.159,349
vk_glayer_1_inst:0,529.087,18.9632,3468,1,1669.04,1212.88,335
hk_glayer_0_inst:0,1092.74,18.7665,5220,2,3146.02,752.825,333
hk_glayer_3_inst:0,984.949,18.9632,5024,2,1776.81,995.834,336
hk_glayer_1_inst:0,712.669,18.8214,5002,2,1756.12,841.942,350
ss_glayer_0_inst:0,505.28,18.9076,3477,1,1343.33,680.738,332
sy_glayer_1_inst:0,783.294,18.8597,2852,1,1448.33,981.288,331
sy_glayer_2_inst:0,482.078,18.8989,2828,1,1262.72,1233.38,329
rch_rain,9889.67,43.0346,4,1,2087.05,50.6113,2
ghb_glayer_4,6.99821,18.9443,1,0,115.317,100.504,0
ghb_glayer_5,168.156,18.979,3,1,320.629,381.151,0
ghb_glayer_1,6.8526,19.6349,6,3,439.81,379.456,0
ghb_glayer_0,223.837,17.8089,6,3,263.831,175.106,0
ghb_glayer_2,168.523,20.1124,3,1,359.297,106.893,1
ghb_glayer_3,9.71494,17.4981,5,2,215.521,162.065,0
