group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds,initial_cv,current_cv,num_cv_dec
sy_glayer_2_inst:0,214.049,11.8096,80,2,176.076,342.639,9
vk_glayer_2_inst:0,143.54,12.7893,78,2,203.794,182.299,15
hk_glayer_1_inst:0,199.101,11.7159,102,2,240.097,186.514,15
sy_glayer_1_inst:0,2255.24,12.3896,82,2,2512.55,516.322,19
ss_glayer_0_inst:0,216.662,13.0049,97,2,290.881,153.271,11
ss_glayer_3_inst:0,97.566,12.0366,70,1,122.175,159.227,8
ss_glayer_1_inst:0,147.641,12.0392,90,2,215.567,207.057,9
vk_glayer_1_inst:0,271.325,11.8832,93,2,433.598,1745.03,19
hk_glayer_3_inst:0,239.221,11.8368,84,2,373.97,444.055,8
vk_glayer_3_inst:0,131.706,11.712,104,2,296.586,141.139,14
hk_glayer_2_inst:0,110.676,12.0312,94,2,138.244,227.84,11
hk_glayer_0_inst:0,131.76,12.3902,101,2,161.219,175.578,13
sy_glayer_0_inst:0,215.428,12.3278,89,2,390.976,262.088,18
sy_glayer_3_inst:0,140.808,12.7361,63,1,197.293,185.927,12
vk_glayer_0_inst:0,288.216,11.9125,79,2,293.246,127.977,17
ss_glayer_2_inst:0,131.613,11.6306,85,2,133.337,120.08,11
rch_rain,240.381,22.6131,1,1,59.0913,38.0377,1
ghb_glayer_3,13.1905,9.53876,1,2,36.1069,37.6258,0
ghb_glayer_0,3.19481,17.5309,0,0,91.5279,77.9734,0
ghb_glayer_5,370.771,17.4139,0,0,336.588,59.0466,1
ghb_glayer_4,30.4096,15.6402,2,5,84.6264,54.7433,0
ghb_glayer_2,23.9014,13.4422,0,0,18.6379,13.0205,0
ghb_glayer_1,10.2698,12.4009,1,2,50.4969,49.2976,0
