iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,base
0,203,2.57374e+64,4.7455e+64,4.86186e+07,1.98994e+65,1.4163e+64,2.1038e+64,9.25121e+07,9.71446e+07,1.30806e+08,1.4163e+64,,1.01654e+08,,8.92769e+07,1.6663e+64,2.1038e+64,1.29431e+08,1.875e+63,6.111e+07,1.0042e+08,1.18342e+65,1.70445e+08,1.89078e+08,,1.4163e+64,1.4163e+64,1.6663e+64,,2.18248e+08,6.61561e+07,1.6663e+64,,9.62113e+07,1.875e+63,1.48977e+08,1.6663e+64,6.74473e+07,6.7528e+64,5.37573e+07,5.16782e+08,1.25911e+08,1.875e+63,1.875e+63,4.375e+63,7.09835e+07,,,,6.51035e+07,,1.98994e+65,7.7449e+64,2.01981e+08,3.3778e+64,1.875e+63,,4.86186e+07,,1.98994e+65,9.84018e+07,6.10332e+07,5.4788e+64,1.8538e+64,9.13095e+07,1.98994e+65,1.875e+63,2.25542e+08,1.6663e+64,7.2324e+64,2.69673e+08,1.98994e+65,,1.02108e+08,,1.6663e+64,1.4163e+64,1.98994e+65,,8.88562e+07,2.33057e+64,1.875e+63,1.6663e+64,1.6663e+64,,6.7528e+64,8.64701e+07,4.0157e+08,5.43277e+08,,7.0675e+07,1.6663e+64,1.88075e+08,8.75e+63,2.1663e+64,2.11919e+08,1.875e+63,7.34652e+07,1.875e+63,6.7528e+64,1.35403e+08,1.94463e+08,6.5028e+64,2.13766e+08,,,1.20718e+08,1.20039e+08,6.7528e+64,7.4824e+64,1.47081e+08,7.4824e+64,7.70169e+07,1.94896e+65,,9.52161e+07,1.38449e+08,1.6663e+64,1.6663e+64,,1.4163e+64,,5.7097e+07,2.80304e+08,1.14446e+08,6.875e+63,6.5028e+64,1.30215e+08,7.4824e+64,1.9163e+64,1.1264e+08,1.4163e+64,1.875e+63,4.375e+63,8.66483e+07,,4.84878e+08,,2.9403e+64,1.84687e+65,9.90065e+07,5.7288e+64,1.875e+63,,1.16631e+08,1.10036e+08,6.2528e+64,1.17094e+08,1.32822e+08,9.4057e+64,,1.0096e+64,1.6663e+64,1.875e+63,,1.8538e+64,1.875e+63,1.4163e+64,1.65853e+65,2.98535e+08,1.4163e+64,1.4163e+64,,1.53432e+65,4.375e+63,,1.875e+63,1.4163e+64,1.875e+63,1.4163e+64,,1.4123e+08,1.3284e+08,1.875e+63,8.6834e+07,1.4163e+64,,1.6663e+64,1.0944e+08,5.619e+63,5.19977e+64,1.6663e+64,,6.7528e+64,6.72649e+07,2.03578e+08,6.7528e+64,4.9356e+07,1.60294e+08,,,9.21424e+07,8.19683e+07,,2.71186e+08,,,6.7528e+64,5.95513e+07,7.50867e+07,,1.16417e+08,,2.88861e+08,1.4163e+64,1.6663e+64,1.88022e+08,1.875e+63,,7.4824e+64,3.1278e+64,6.5028e+64,,1.6663e+64,,,6.09513e+07,2.86082e+08,1.27119e+65,,7.5449e+64,3.51863e+08,1.875e+63,6.7528e+64,5.4788e+64,1.6663e+64,5.84771e+07,6.46673e+07,1.4163e+64,,1.4163e+64,3.37548e+08,1.4163e+64,1.6663e+64,1.6663e+64,1.77326e+08,1.83785e+65,1.35673e+08,1.6663e+64,9.45384e+07,,4.375e+63,1.4163e+64,1.8538e+64,1.12264e+08,1.6663e+64,1.2288e+64,,1.4163e+64,1.98994e+65,1.59807e+65,6.5028e+64,,7.2324e+64,6.59357e+07
1,415,2.74359e+62,1.15384e+63,3.2722e+07,1.4163e+64,1.22019e+08,8.12978e+07,9.25121e+07,9.71446e+07,1.30806e+08,7.95427e+07,,1.01654e+08,,8.92769e+07,1.875e+63,7.9915e+07,1.29431e+08,1.23932e+08,6.111e+07,1.0042e+08,1.875e+63,,1.89078e+08,,1.19124e+08,9.57574e+07,9.8264e+07,,2.18248e+08,6.61561e+07,7.73887e+07,,9.62113e+07,5.302e+07,1.48977e+08,9.77872e+07,6.74473e+07,5.17438e+07,5.37573e+07,5.16782e+08,1.25911e+08,1.34783e+08,1.10702e+08,5.31925e+07,7.09835e+07,,,,6.51035e+07,,1.875e+63,,2.01981e+08,1.1397e+08,1.31446e+08,,4.86186e+07,,,9.84018e+07,6.10332e+07,3.85172e+07,1.875e+63,9.13095e+07,1.06234e+08,1.66143e+08,2.25542e+08,5.33434e+07,1.875e+63,2.69673e+08,1.875e+63,,1.02108e+08,,1.875e+63,1.02948e+08,1.4163e+64,,8.88562e+07,9.94929e+07,9.70249e+07,1.875e+63,1.875e+63,,1.875e+63,8.64701e+07,4.0157e+08,5.43277e+08,,7.0675e+07,8.65412e+07,1.88075e+08,5.82055e+07,8.21718e+07,2.11919e+08,7.8315e+07,7.34652e+07,9.64214e+07,6.50818e+07,1.35403e+08,1.94463e+08,9.2447e+07,2.13766e+08,,,1.20718e+08,,9.29039e+07,1.875e+63,1.47081e+08,7.22362e+07,7.70169e+07,1.875e+63,,9.52161e+07,1.38449e+08,8.609e+07,9.07958e+07,,7.33351e+07,,5.7097e+07,2.80304e+08,1.14446e+08,2.5e+63,1.875e+63,1.30215e+08,8.60223e+07,6.55121e+07,1.1264e+08,1.31399e+08,7.38098e+07,8.62849e+07,8.66483e+07,,4.84878e+08,,6.39812e+07,1.13101e+08,9.90065e+07,5.29527e+07,1.04264e+08,,1.16631e+08,1.10036e+08,,1.17094e+08,1.32822e+08,5.31604e+07,,1.13006e+08,5.87471e+07,1.94341e+08,,7.49988e+07,1.05648e+08,1.43759e+08,8.47713e+07,2.98535e+08,1.28211e+08,1.0588e+08,,8.59924e+07,1.875e+63,,1.07459e+08,1.88839e+08,6.68819e+07,1.43142e+08,,1.4123e+08,1.3284e+08,9.12306e+07,8.6834e+07,7.99995e+07,,1.875e+63,1.0944e+08,1.44791e+08,8.15494e+07,8.60482e+07,,6.93631e+07,6.72649e+07,2.03578e+08,6.8189e+07,4.9356e+07,1.60294e+08,,,9.21424e+07,8.19683e+07,,2.71186e+08,,,1.875e+63,5.95513e+07,7.50867e+07,,1.16417e+08,,2.88861e+08,7.03541e+07,9.45845e+07,1.88022e+08,1.1849e+08,,1.08546e+08,8.99851e+07,1.875e+63,,1.01515e+08,,,6.09513e+07,2.86082e+08,3.2722e+07,,5.19514e+07,3.51863e+08,7.05924e+07,1.875e+63,7.2214e+07,6.46603e+07,5.84771e+07,6.46673e+07,6.33208e+07,,4.2874e+07,3.37548e+08,6.21552e+07,9.14413e+07,8.35204e+07,1.77326e+08,5.98704e+07,1.35673e+08,1.24419e+08,9.45384e+07,,1.875e+63,6.39286e+07,1.875e+63,1.12264e+08,7.47056e+07,1.6e+62,,1.31391e+08,4.24733e+08,5.07647e+07,8.9468e+07,,8.36708e+07,6.59357e+07
2,640,1.18846e+08,7.95888e+07,3.2722e+07,5.43277e+08,1.22019e+08,8.12978e+07,9.25121e+07,9.71446e+07,1.30806e+08,7.95427e+07,,1.01654e+08,,8.92769e+07,9.84237e+07,7.9915e+07,1.29431e+08,1.23932e+08,6.111e+07,1.0042e+08,6.46744e+07,,1.89078e+08,,1.19124e+08,9.57574e+07,9.8264e+07,,2.18248e+08,6.61561e+07,7.73887e+07,,9.62113e+07,5.302e+07,1.48977e+08,9.77872e+07,6.74473e+07,5.17438e+07,5.37573e+07,5.16782e+08,1.25911e+08,1.34783e+08,1.10702e+08,5.31925e+07,7.09835e+07,,,,6.51035e+07,,1.17743e+08,,2.01981e+08,1.1397e+08,1.31446e+08,,4.86186e+07,,,9.84018e+07,6.10332e+07,3.85172e+07,1.3026e+08,9.13095e+07,1.06234e+08,1.66143e+08,2.25542e+08,5.33434e+07,9.03741e+07,2.69673e+08,7.27604e+07,,1.02108e+08,,1.33924e+08,1.02948e+08,1.67589e+08,,8.88562e+07,9.94929e+07,9.70249e+07,1.37438e+08,1.47967e+08,,9.99438e+07,8.64701e+07,4.0157e+08,5.43277e+08,,7.0675e+07,8.65412e+07,1.88075e+08,5.82055e+07,8.21718e+07,2.11919e+08,7.8315e+07,7.34652e+07,9.64214e+07,6.50818e+07,1.35403e+08,1.94463e+08,9.2447e+07,2.13766e+08,,,1.20718e+08,,9.29039e+07,9.24317e+07,1.47081e+08,7.22362e+07,7.70169e+07,9.43707e+07,,9.52161e+07,1.38449e+08,8.609e+07,9.07958e+07,,7.33351e+07,,5.7097e+07,2.80304e+08,1.14446e+08,1.54875e+08,1.04546e+08,1.30215e+08,8.60223e+07,6.55121e+07,1.1264e+08,1.31399e+08,7.38098e+07,8.62849e+07,8.66483e+07,,4.84878e+08,,6.39812e+07,1.13101e+08,9.90065e+07,5.29527e+07,1.04264e+08,,1.16631e+08,1.10036e+08,,1.17094e+08,1.32822e+08,5.31604e+07,,1.13006e+08,5.87471e+07,1.94341e+08,,7.49988e+07,1.05648e+08,1.43759e+08,8.47713e+07,2.98535e+08,1.28211e+08,1.0588e+08,,8.59924e+07,1.09716e+08,,1.07459e+08,1.88839e+08,6.68819e+07,1.43142e+08,,1.4123e+08,,9.12306e+07,8.6834e+07,7.99995e+07,,1.34145e+08,1.0944e+08,1.44791e+08,8.15494e+07,8.60482e+07,,6.93631e+07,6.72649e+07,2.03578e+08,6.8189e+07,4.9356e+07,1.60294e+08,,,9.21424e+07,8.19683e+07,,2.71186e+08,,,1.12405e+08,5.95513e+07,7.50867e+07,,1.16417e+08,,2.88861e+08,7.03541e+07,9.45845e+07,1.88022e+08,1.1849e+08,,1.08546e+08,8.99851e+07,8.55104e+07,,1.01515e+08,,,6.09513e+07,2.86082e+08,3.2722e+07,,5.19514e+07,3.51863e+08,7.05924e+07,1.15243e+08,7.2214e+07,6.46603e+07,5.84771e+07,6.46673e+07,6.33208e+07,,4.2874e+07,3.37548e+08,6.21552e+07,9.14413e+07,8.35204e+07,1.77326e+08,5.98704e+07,1.35673e+08,1.24419e+08,9.45384e+07,,1.06641e+08,6.39286e+07,8.90733e+07,1.12264e+08,7.47056e+07,1.32278e+08,,1.31391e+08,4.24733e+08,5.07647e+07,8.9468e+07,,8.36708e+07,6.59357e+07
3,823,1.21448e+08,8.27751e+07,3.2722e+07,5.43277e+08,1.22019e+08,8.12978e+07,9.25121e+07,9.71446e+07,1.30806e+08,7.95427e+07,,1.01654e+08,,8.92769e+07,9.84237e+07,7.9915e+07,1.29431e+08,1.23932e+08,6.111e+07,1.0042e+08,6.46744e+07,,,,1.19124e+08,9.57574e+07,9.8264e+07,,2.18248e+08,6.61561e+07,,,9.62113e+07,,,9.77872e+07,6.74473e+07,5.17438e+07,5.37573e+07,5.16782e+08,1.25911e+08,1.34783e+08,1.10702e+08,,,,,,,,1.17743e+08,,,,1.31446e+08,,,,,,,,1.3026e+08,9.13095e+07,,1.66143e+08,2.25542e+08,,,2.69673e+08,,,1.02108e+08,,1.33924e+08,1.02948e+08,,,8.88562e+07,,9.70249e+07,1.37438e+08,,,,8.64701e+07,4.0157e+08,5.43277e+08,,7.0675e+07,8.65412e+07,1.88075e+08,5.82055e+07,8.21718e+07,2.11919e+08,7.8315e+07,7.34652e+07,9.64214e+07,6.50818e+07,1.35403e+08,1.94463e+08,9.2447e+07,2.13766e+08,,,1.20718e+08,,9.29039e+07,9.24317e+07,1.47081e+08,7.22362e+07,7.70169e+07,9.43707e+07,,9.52161e+07,1.38449e+08,8.609e+07,9.07958e+07,,7.33351e+07,,5.7097e+07,2.80304e+08,1.14446e+08,1.54875e+08,1.04546e+08,1.30215e+08,8.60223e+07,6.55121e+07,1.1264e+08,1.31399e+08,7.38098e+07,8.62849e+07,8.66483e+07,,4.84878e+08,,6.39812e+07,1.13101e+08,9.90065e+07,5.29527e+07,,,1.16631e+08,1.10036e+08,,1.17094e+08,1.32822e+08,5.31604e+07,,1.13006e+08,5.87471e+07,1.94341e+08,,7.49988e+07,1.05648e+08,1.43759e+08,8.47713e+07,2.98535e+08,1.28211e+08,1.0588e+08,,8.59924e+07,1.09716e+08,,1.07459e+08,1.88839e+08,6.68819e+07,1.43142e+08,,1.4123e+08,,9.12306e+07,8.6834e+07,7.99995e+07,,1.34145e+08,1.0944e+08,1.44791e+08,8.15494e+07,8.60482e+07,,6.93631e+07,6.72649e+07,2.03578e+08,6.8189e+07,4.9356e+07,1.60294e+08,,,9.21424e+07,8.19683e+07,,2.71186e+08,,,1.12405e+08,5.95513e+07,7.50867e+07,,1.16417e+08,,2.88861e+08,7.03541e+07,9.45845e+07,1.88022e+08,,,1.08546e+08,8.99851e+07,8.55104e+07,,1.01515e+08,,,6.09513e+07,2.86082e+08,3.2722e+07,,5.19514e+07,3.51863e+08,7.05924e+07,1.15243e+08,7.2214e+07,6.46603e+07,5.84771e+07,6.46673e+07,6.33208e+07,,4.2874e+07,3.37548e+08,6.21552e+07,9.14413e+07,8.35204e+07,1.77326e+08,5.98704e+07,1.35673e+08,1.24419e+08,9.45384e+07,,1.06641e+08,6.39286e+07,8.90733e+07,1.12264e+08,7.47056e+07,1.32278e+08,,1.31391e+08,4.24733e+08,5.07647e+07,8.9468e+07,,8.36708e+07,6.59357e+07
4,968,1.22175e+08,8.08318e+07,4.2874e+07,5.43277e+08,1.22019e+08,8.12978e+07,9.25121e+07,,1.30806e+08,7.95427e+07,,1.01654e+08,,8.92769e+07,9.84237e+07,7.9915e+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66143e+08,2.25542e+08,,,2.69673e+08,,,1.02108e+08,,1.33924e+08,1.02948e+08,,,8.88562e+07,,9.70249e+07,1.37438e+08,,,,8.64701e+07,4.0157e+08,5.43277e+08,,,,,,,,,,,,,1.94463e+08,9.2447e+07,2.13766e+08,,,1.20718e+08,,9.29039e+07,9.24317e+07,1.47081e+08,7.22362e+07,7.70169e+07,9.43707e+07,,9.52161e+07,1.38449e+08,8.609e+07,9.07958e+07,,7.33351e+07,,5.7097e+07,2.80304e+08,1.14446e+08,1.54875e+08,1.04546e+08,1.30215e+08,,6.55121e+07,1.1264e+08,1.31399e+08,7.38098e+07,8.62849e+07,8.66483e+07,,4.84878e+08,,6.39812e+07,1.13101e+08,9.90065e+07,5.29527e+07,,,1.16631e+08,1.10036e+08,,1.17094e+08,1.32822e+08,5.31604e+07,,1.13006e+08,5.87471e+07,1.94341e+08,,7.49988e+07,1.05648e+08,1.43759e+08,8.47713e+07,2.98535e+08,1.28211e+08,1.0588e+08,,8.59924e+07,1.09716e+08,,1.07459e+08,1.88839e+08,6.68819e+07,1.43142e+08,,1.4123e+08,,9.12306e+07,8.6834e+07,7.99995e+07,,1.34145e+08,1.0944e+08,1.44791e+08,8.15494e+07,8.60482e+07,,6.93631e+07,6.72649e+07,,6.8189e+07,,1.60294e+08,,,9.21424e+07,8.19683e+07,,2.71186e+08,,,1.12405e+08,5.95513e+07,7.50867e+07,,1.16417e+08,,2.88861e+08,7.03541e+07,9.45845e+07,1.88022e+08,,,1.08546e+08,8.99851e+07,8.55104e+07,,1.01515e+08,,,6.09513e+07,2.86082e+08,,,5.19514e+07,,,,,6.46603e+07,5.84771e+07,,,,4.2874e+07,,6.21552e+07,9.14413e+07,8.35204e+07,1.77326e+08,5.98704e+07,1.35673e+08,1.24419e+08,9.45384e+07,,1.06641e+08,6.39286e+07,8.90733e+07,1.12264e+08,7.47056e+07,1.32278e+08,,1.31391e+08,4.24733e+08,5.07647e+07,8.9468e+07,,8.36708e+07,6.59357e+07
5,1077,1.23494e+08,8.54358e+07,5.19514e+07,5.43277e+08,1.22019e+08,8.12978e+07,9.25121e+07,,1.30806e+08,7.95427e+07,,1.01654e+08,,,9.84237e+07,7.9915e+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66143e+08,2.25542e+08,,,2.69673e+08,,,1.02108e+08,,1.33924e+08,1.02948e+08,,,8.88562e+07,,9.70249e+07,1.37438e+08,,,,8.64701e+07,4.0157e+08,5.43277e+08,,,,,,,,,,,,,1.94463e+08,9.2447e+07,2.13766e+08,,,1.20718e+08,,9.29039e+07,9.24317e+07,1.47081e+08,7.22362e+07,7.70169e+07,9.43707e+07,,9.52161e+07,1.38449e+08,8.609e+07,9.07958e+07,,7.33351e+07,,5.7097e+07,2.80304e+08,1.14446e+08,1.54875e+08,1.04546e+08,1.30215e+08,,6.55121e+07,,1.31399e+08,7.38098e+07,8.62849e+07,8.66483e+07,,4.84878e+08,,6.39812e+07,1.13101e+08,9.90065e+07,5.29527e+07,,,,1.10036e+08,,1.17094e+08,,,,,5.87471e+07,,,,,,,,,,,,,,,,6.68819e+07,,,,,,8.6834e+07,7.99995e+07,,1.34145e+08,1.0944e+08,1.44791e+08,8.15494e+07,8.60482e+07,,6.93631e+07,6.72649e+07,,6.8189e+07,,1.60294e+08,,,9.21424e+07,8.19683e+07,,2.71186e+08,,,1.12405e+08,5.95513e+07,7.50867e+07,,1.16417e+08,,2.88861e+08,7.03541e+07,9.45845e+07,1.88022e+08,,,1.08546e+08,8.99851e+07,8.55104e+07,,1.01515e+08,,,6.09513e+07,2.86082e+08,,,5.19514e+07,,,,,6.46603e+07,5.84771e+07,,,,,,,,8.35204e+07,,,,,,,,,,1.12264e+08,,1.32278e+08,,,,,,,,6.59357e+07
