time,N-A-1,N-QE3-1,N-VR-C,N-A-2,N-GR-1,N-GR-2,N-GR-3,N-GR-4,N-PC-1,N-SL-1,N-VH-1,N-VR-C2,S-ACE2-1,S-DCE2-1,S-LL-1,S-LL-2,S-M-1,S-PS-1,S-PS-2,S-VR-ES,NC-CR-1,NC-CR-2,S-T4-1,S-T4-2,S-T4-3,P-VH-1,A-LR-1,P-MS-2,P-MS-1,P-LZ-4,P-M-6,P-VR-1,P-GAL-S1,P-GAL-S2,P-GAL-S3,P-GAL-S4,P-GAL-S5,P-GAL-S6A,P-E3-S6,P-RN-S7,P-VR-S,P-E3-1,N-VR-3,N-VR-B,N-M-2,PAS-NE-1,PAS-NE-2,PAS-NE-3,PAS-NE-4,PAS-NE-5,PAS-NE-6,PAS-NE-10,PAS-NE-11,PAS-NE-7,PAS-NE-8,PAS-NE-9,P-M-1,P-VR-2,D-VR-Q,PAS-NE-12,PAS-NV-1,PAS-NV-2,PAS-NV-3,PAS-NV-4,PAS-NV-5,PAS-NV-6,PAS-NV-7,PAS-NV-8,N-QM-1,S-ML-1,N-VR-C2
864001.0000000,-0.10000E+31,755.56,724.93,-0.10000E+31,743.05,779.00,804.28,-0.10000E+31,-0.10000E+31,-0.10000E+31,672.67,775.37,786.18,786.18,786.18,775.86,-0.10000E+31,-0.10000E+31,-0.10000E+31,761.92,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,727.04,-0.10000E+31,-0.10000E+31,-0.10000E+31,770.33,-0.10000E+31,741.69,-0.10000E+31,785.17,791.79,795.90,792.58,-0.10000E+31,763.96,-0.10000E+31,734.86,785.17,741.69,660.83,-0.10000E+31,-0.10000E+31,-0.10000E+31,789.64,-0.10000E+31,-0.10000E+31,-0.10000E+31,771.95,-0.10000E+31,761.92,775.86,771.95,-0.10000E+31,754.85,724.93,672.67,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,821.53,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,724.93
950401.0000000,-0.10000E+31,755.56,724.93,-0.10000E+31,743.05,779.00,804.28,-0.10000E+31,-0.10000E+31,-0.10000E+31,672.67,775.37,786.18,786.18,786.18,775.86,-0.10000E+31,-0.10000E+31,-0.10000E+31,761.92,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,727.02,-0.10000E+31,-0.10000E+31,-0.10000E+31,770.33,-0.10000E+31,741.69,-0.10000E+31,785.17,791.79,795.90,792.58,-0.10000E+31,763.96,-0.10000E+31,734.86,785.17,741.69,660.83,-0.10000E+31,-0.10000E+31,-0.10000E+31,789.64,-0.10000E+31,-0.10000E+31,-0.10000E+31,771.95,-0.10000E+31,761.92,775.86,771.95,-0.10000E+31,754.84,724.93,672.67,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,821.53,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,724.93
1036801.000000,-0.10000E+31,755.56,724.93,-0.10000E+31,743.05,779.00,804.28,-0.10000E+31,-0.10000E+31,-0.10000E+31,672.67,775.37,786.17,786.17,786.17,775.86,-0.10000E+31,-0.10000E+31,-0.10000E+31,761.92,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,727.01,-0.10000E+31,-0.10000E+31,-0.10000E+31,770.33,-0.10000E+31,741.69,-0.10000E+31,785.17,791.79,795.90,792.58,-0.10000E+31,763.96,-0.10000E+31,734.86,785.17,741.69,660.83,-0.10000E+31,-0.10000E+31,-0.10000E+31,789.64,-0.10000E+31,-0.10000E+31,-0.10000E+31,771.95,-0.10000E+31,761.92,775.86,771.95,-0.10000E+31,754.84,724.93,672.67,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,821.53,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,724.93
1123201.000000,-0.10000E+31,755.56,724.93,-0.10000E+31,743.05,779.00,804.28,-0.10000E+31,-0.10000E+31,-0.10000E+31,672.67,775.37,786.17,786.17,786.17,775.86,-0.10000E+31,-0.10000E+31,-0.10000E+31,761.92,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,726.99,-0.10000E+31,-0.10000E+31,-0.10000E+31,770.32,-0.10000E+31,741.69,-0.10000E+31,785.17,791.79,795.89,792.58,-0.10000E+31,763.96,-0.10000E+31,734.85,785.17,741.69,660.83,-0.10000E+31,-0.10000E+31,-0.10000E+31,789.64,-0.10000E+31,-0.10000E+31,-0.10000E+31,771.95,-0.10000E+31,761.92,775.86,771.95,-0.10000E+31,754.83,724.93,672.67,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,821.53,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,724.93
1209601.000000,-0.10000E+31,755.56,724.93,-0.10000E+31,743.05,779.00,804.28,-0.10000E+31,-0.10000E+31,-0.10000E+31,672.67,775.37,786.17,786.17,786.17,775.86,-0.10000E+31,-0.10000E+31,-0.10000E+31,761.92,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,726.98,-0.10000E+31,-0.10000E+31,-0.10000E+31,770.32,-0.10000E+31,741.69,-0.10000E+31,785.17,791.79,795.89,792.58,-0.10000E+31,763.96,-0.10000E+31,734.85,785.17,741.69,660.83,-0.10000E+31,-0.10000E+31,-0.10000E+31,789.64,-0.10000E+31,-0.10000E+31,-0.10000E+31,771.94,-0.10000E+31,761.92,775.86,771.94,-0.10000E+31,754.83,724.93,672.67,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,821.53,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,724.93
1296001.000000,-0.10000E+31,755.56,724.93,-0.10000E+31,743.05,779.00,804.28,-0.10000E+31,-0.10000E+31,-0.10000E+31,672.67,775.37,786.17,786.17,786.17,775.86,-0.10000E+31,-0.10000E+31,-0.10000E+31,761.92,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,726.97,-0.10000E+31,-0.10000E+31,-0.10000E+31,770.32,-0.10000E+31,741.68,-0.10000E+31,785.17,791.79,795.89,792.58,-0.10000E+31,763.96,-0.10000E+31,734.85,785.17,741.68,660.83,-0.10000E+31,-0.10000E+31,-0.10000E+31,789.64,-0.10000E+31,-0.10000E+31,-0.10000E+31,771.94,-0.10000E+31,761.92,775.86,771.94,-0.10000E+31,754.83,724.93,672.67,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,821.53,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,724.93
1382401.000000,-0.10000E+31,755.56,724.93,-0.10000E+31,743.05,779.00,804.28,-0.10000E+31,-0.10000E+31,-0.10000E+31,672.67,775.37,786.17,786.17,786.17,775.86,-0.10000E+31,-0.10000E+31,-0.10000E+31,761.92,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,726.96,-0.10000E+31,-0.10000E+31,-0.10000E+31,770.32,-0.10000E+31,741.68,-0.10000E+31,785.17,791.79,795.89,792.58,-0.10000E+31,763.96,-0.10000E+31,734.85,785.17,741.68,660.83,-0.10000E+31,-0.10000E+31,-0.10000E+31,789.64,-0.10000E+31,-0.10000E+31,-0.10000E+31,771.94,-0.10000E+31,761.92,775.86,771.94,-0.10000E+31,754.82,724.93,672.67,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,821.53,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,724.93
1468801.000000,-0.10000E+31,755.56,724.93,-0.10000E+31,743.05,779.00,804.28,-0.10000E+31,-0.10000E+31,-0.10000E+31,672.67,775.37,786.17,786.17,786.17,775.86,-0.10000E+31,-0.10000E+31,-0.10000E+31,761.91,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,726.95,-0.10000E+31,-0.10000E+31,-0.10000E+31,770.32,-0.10000E+31,741.68,-0.10000E+31,785.17,791.79,795.89,792.58,-0.10000E+31,763.96,-0.10000E+31,734.85,785.17,741.68,660.83,-0.10000E+31,-0.10000E+31,-0.10000E+31,789.64,-0.10000E+31,-0.10000E+31,-0.10000E+31,771.94,-0.10000E+31,761.91,775.86,771.94,-0.10000E+31,754.82,724.93,672.67,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,821.53,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,724.93
1555201.000000,-0.10000E+31,755.56,724.93,-0.10000E+31,743.05,779.00,804.28,-0.10000E+31,-0.10000E+31,-0.10000E+31,672.67,775.37,786.17,786.17,786.17,775.86,-0.10000E+31,-0.10000E+31,-0.10000E+31,761.91,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,726.94,-0.10000E+31,-0.10000E+31,-0.10000E+31,770.32,-0.10000E+31,741.68,-0.10000E+31,785.17,791.79,795.89,792.58,-0.10000E+31,763.95,-0.10000E+31,734.85,785.17,741.68,660.83,-0.10000E+31,-0.10000E+31,-0.10000E+31,789.64,-0.10000E+31,-0.10000E+31,-0.10000E+31,771.94,-0.10000E+31,761.91,775.86,771.94,-0.10000E+31,754.82,724.93,672.67,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,821.53,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,724.93
1641601.000000,-0.10000E+31,755.56,724.93,-0.10000E+31,743.05,779.00,804.28,-0.10000E+31,-0.10000E+31,-0.10000E+31,672.67,775.37,786.17,786.17,786.17,775.86,-0.10000E+31,-0.10000E+31,-0.10000E+31,761.91,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,726.94,-0.10000E+31,-0.10000E+31,-0.10000E+31,770.32,-0.10000E+31,741.68,-0.10000E+31,785.17,791.79,795.89,792.58,-0.10000E+31,763.95,-0.10000E+31,734.85,785.17,741.68,660.83,-0.10000E+31,-0.10000E+31,-0.10000E+31,789.64,-0.10000E+31,-0.10000E+31,-0.10000E+31,771.94,-0.10000E+31,761.91,775.86,771.94,-0.10000E+31,754.82,724.93,672.67,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,821.53,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,724.93
